RAZA,RP,NACIDO,PN,PADRE,AB.MAT,NAC,DES,18M,PAV,LCH,AOB,Marb,GRS,CE
ANGUS,225,09-08-23,40,Rainmaster,ZHornero2,1.80,28.4,38.5,29.4,-1.40,1238,0.058,0.009,0.6
ANGUS,229,31-08-23,32,LM 180,Pathfinder,0.13,12.42,13.91,16.48,-3.21,0.457,0.004,-0.057,0.43
ANGUS,233,12-09-23,35,Jeremías,Performance,0.19,17.91,29.18,26,-0.31,2157,-0.020,0.010,0.02
ANGUS,237,14-09-23,33,Jeremías,REMATE,-0.43,13.13,17.52,14.65,-0.28,1753,-0.069,-0.066,0.47
ANGUS,238,14-09-23,39,Jeremías,Performance,0.81,15.95,23.56,26.65,-0.59,2989,-0.035,0.032,0.31
ANGUS,239,15-09-23,34,Jeremías,ZHornero2,-0.44,7.83,4.39,5.95,-3.02,0.197,-0.037,-0.050,0.36
ANGUS,240,16-09-23,38,Rainmaster,Performance,1.25,26.37,35.1,28.1,-1.54,2490,0.064,0.066,0.8
ANGUS,242,16-09-23,35,LM 180,ZHornero2,0.54,9.53,7.63,9.48,-4.07,-0.602,0.033,-0.031,0.24
ANGUS,243,19-09-23,42,LM 180,Performance,1.83,18.30,19.58,22.62,-3.74,"  1,024 ",0.042,-0.003,0.32
ANGUS,244,20-09-23,38,Colossal,Pathfinder,0.79,22.7,27.21,29.11,-2.13,1884,0.055,0.530,0.41
ANGUS,245,02-10-23,41,LM 180,Conn.CP,1.30,14.62,9.25,9.24,-5.37,0.585,0.037,0.003,0.21
ANGUS,246,04-10-23,39,Colossal,B.Jack 39,0.93,15.96,22.48,20.44,0.41,2400,0.017,0.102,0.2
ANGUS,249,17-10-23,40,LM 180,Pathfinder,1.53,18.56,21.01,22.95,-3.41,1258,-0.01,-0.048,0.43
