RP,LOTE,PN,PD,P18m,PAV,CE,HL,AOB,EGS,MARB
1815,C,1.39,25.77,33.69,31.1,-0.02,-0.44,2.226,0.06,0.043
1918,C,0.93,19.01,22.12,26.91,-0.13,-1.89,1.62,0.033,0.011
1177,1,3.21,22.1,30.55,21.1,0.82,0.45,0.855,-0.012,0.018
1126,2,1,7.43,-2.51,8.6,0.36,-7.73,-0.35,-0.021,0.009
1538,2,-0.08,24.51,33.89,38.03,0.69,-1.7,1.166,0.09,0.089
1545,2,1.3,18.25,31.6,31.2,0.78,2.1,2.664,0.091,0.024
1624,2,2.44,22.43,28.76,26.24,0.37,-0.9,2.439,-0.079,-0.059
1640,2,0.98,21.92,27.62,29.81,0.47,-2.37,3.003,-0.053,-0.067
1656,2,1.67,19.98,20.67,22.91,0.27,-1.96,1.887,-0.037,-0.047
1567,3,-0.04,33.23,36.07,29.63,1.17,-2.99,1.647,-0.068,0.02
1584,3,-0.15,19.08,27.66,29.3,0.71,-0.07,0.476,0.218,0.173
1659,3,1.01,13.88,18.24,14.6,0.26,0.33,1.297,-0.008,-0.004
1663,3,0.55,13.53,22.36,22.46,0.63,0.74,1.696,-0.065,-0.071
1665,3,1.67,16.33,14.7,18.36,0.39,-2.69,1.06,-0.095,-0.066
1680,3,0.56,11.93,12.71,18.71,0.39,-2.98,1.333,0.097,0.023
1597,4,-1.03,13.79,40.12,30.49,0.72,8.16,1.57,-0.015,-0.02
1628,4,2.04,17.13,28.64,28.24,0.72,1.33,2.169,-0.024,-0.036
1642,4,2.11,10.68,12.65,14.24,1.15,1.9,0.467,-0.079,-0.073
1653,4,0.3,7.96,10.77,10.68,0.5,0.67,1.061,-0.095,-0.1
1683,4,-0.25,10.41,19.63,22.01,0.43,0.51,0.643,-0.095,-0.094
1547,5,0.79,25.08,38.43,38.66,0.91,0.99,0.826,0.009,0.061
1564,5,2.03,28.56,41.7,40.62,0.57,0.49,2.078,0.119,0.092
1586,5,1.29,23.41,18.36,23.32,0.52,-6.84,2.502,-0.094,-0.056
1610,5,-0.32,22.19,54.26,40.57,0.8,10.23,3.763,0.003,-0.038
1637,5,0.27,17.58,7.53,14.26,0.54,-8.77,1.119,-0.091,-0.023
1585,6,0.42,6.4,6.66,9.21,0.21,-1.61,1.364,-0.095,-0.112
1644,6,0.87,9.76,7.74,13.84,0.59,-1.54,1.195,-0.105,-0.119
1678,6,2.4,13.75,14.49,19.89,0.17,-1.96,0.654,-0.062,-0.05
1691,6,-0.48,13.21,16.33,16.27,0.31,-1.91,2.058,0.051,-0.028
