RP,LOTE,FPD,PN,PD,18,PAV,CE,FPM,HL,AOB,GR,MRB,ICr,ICo
15484,7,-3.1,2.2,25.5,43.4,44.9,1.1,-3.6,7.3,1.42,0.08,0.09,133,122
15683,7,-0.4,1.5,36.5,61,52.4,1.4,-1.4,10.9,3.61,0.18,0.16,202,138
15860,8,1.5,1,26.8,50.2,36.5,0.8,0.9,11.1,2.39,-0.3,-0.04,158,147
15893,8,5.2,0.9,24.8,44.4,50,1.1,-2.6,5.4,2.06,0.3,0.11,120,116
15899,8,9.4,0.1,23.3,40.7,40.1,1.3,2.8,12.7,1.48,0.51,0.14,145,110
15930,8,-6.6,2,25.7,47.3,41.5,0.7,-4.6,10.9,1.94,0.1,0.08,147,142
15951,8,1.2,1.6,26.8,50.3,44.9,0.9,-0.4,12,2.97,0.23,0.18,156,145
15954,8,8.4,0.1,24,47,48,0.9,2.3,10.3,2.97,0.3,0.13,133,129
15964,8,4.5,1.2,23.2,49.4,40.1,0.9,1.2,9.2,3.03,0.36,0.16,130,162
15890,9,5.1,0.7,28.4,40.1,41.9,1.2,1.7,13.7,2.77,0.48,0.15,174,90
15936,9,-0.3,1.6,22.1,43,50.4,0.5,-1.2,8.6,1.35,0.13,0.12,112,127
15938,9,13.2,-0.4,18.5,34.4,30.1,1.1,6.1,9.7,2.13,0.36,0.11,115,116
15950,9,1.1,1.9,27.2,49.8,38.1,1,0.2,9.3,3.48,0.41,0.13,154,156
15958,9,-1.3,1.7,22.8,42.6,46.4,1,-1.7,11,1.29,0.15,0.12,130,121
15991,9,5.5,0.9,23.3,49.1,48.4,0.7,1.2,13.1,2.9,0.3,0.16,137,147
15902,10,10.8,0.1,22.1,39.7,36.6,1.2,6.9,8,2.65,0.36,0.17,124,119
15932,10,1.6,1.6,26.9,51.3,44.7,0.8,-0.5,11,2.71,0.28,0.17,152,151
15952,10,8.7,0.8,23.7,44.1,35.4,1.3,5.9,9.6,3.55,0.3,0.06,140,135
15989,10,1.6,1.8,25.5,50.6,47.6,1.4,2.9,9.8,3.48,0.23,0.11,142,144
15996,10,-0.2,2.2,25.2,55.7,42.6,1,-1.7,8.2,2.84,0.2,0.09,136,182
15916,11,7.8,0.4,23.8,49.9,43.8,0.9,2.4,9.6,1.55,0.36,0.08,132,150
15922,11,1.8,1.6,29.9,53,52.2,1.1,-0.9,11,2.84,0.3,0.15,165,133
15933,11,1.7,1,24.3,52,53.9,1,-0.7,12.6,2.58,0.36,0.15,138,144
15955,11,6.4,0.9,25.4,48.8,44.1,0.8,0.1,11.7,3.16,0.25,0.09,147,142
15992,11,2.5,1.3,24.4,43.8,31.6,1.4,3,11.7,3.16,0.41,0.22,154,139
