RP,LOTE,PN,PD,P18m,PAV,CE,HL,AOB,EGS,MARB
1497,17,-0.18,16.25,27.21,25.08,0.2,2.15,1.792,-0.082,-0.069
1518,25,-1.11,12.39,16.1,16.6,0.57,-1.78,S/D,S/D,S/D
1519,2,-1.13,19.87,32.51,28,0.62,2.39,1.834,0.035,0.019
1520,2,0.83,30.97,35.34,32.31,0.09,-2.93,1.72,0.113,0.144
1522,4,1.72,32.56,41.33,42.01,0.51,-1.4,1.954,-0.016,0.033
1525,18,0.21,29.82,43.35,39.49,1.03,0.81,1.459,0.021,0.065
1526,4,2.23,24.39,27.59,29.7,0.26,-3.26,1.086,-0.021,0.064
1529,22,1.28,24.45,20.6,26.42,-0.6,-5.97,1.285,0.061,0.112
1530,1,0.24,25.32,47.86,38.97,0.66,5.31,1.788,0.072,0.068
1536,1,0.63,18.49,23.52,29.38,0.4,-1.7,2.58,0.02,-0.017
1537,1,0.38,19.37,27.89,32.54,0.39,-0.98,2.784,0.071,0.024
1541,3,0.14,23.65,45.82,38.93,0.94,5.95,2.726,0.082,0.03
1546,1,-0.27,27.54,47.59,39.33,0.7,3.83,2.769,0.096,0.08
1555,2,0.99,31.48,43.81,41.88,0.26,0.37,771,0.063,0.123
1557,18,1.27,26.16,45.47,40.96,0.91,4.19,1.435,0.081,0.066
1565,26,0.79,21.38,38.73,32.87,0.06,4.61,1.677,0.101,0.062
1566,19,0.81,25.21,37.83,29.07,0.32,2.67,1.277,0.095,0.092
1569,19,0.8,23,32.6,25.67,0.56,1.43,1.176,0.052,0.058
1572,6,0.86,22.18,30.64,29.04,0.35,0.54,0.158,0.32,0.085
1577,22,1.64,20.16,30.79,25.09,1.69,2.19,1.744,0.093,0.047
1578,4,1.67,27.3,40.72,37.81,0.58,1.85,2.096,0.142,0.076
1583,21,0.59,17.71,17.16,18.34,0.18,-2.88,0.838,0.025,0.028
1589,5,-1.08,20.23,37.43,27.72,0.87,4.29,0.661,-0.064,0.026
1592,24,1.12,18.78,24.86,24.42,0.3,-0.86,1.092,-0.076,-0.046
1595,24,0.74,13.31,12.34,14.07,0.5,-2.84,1.879,-0.021,-0.044
1600,23,0.61,16.4,20.38,17.82,0.28,-1.28,0.847,-0.067,-0.013
1602,26,0.73,17.79,18.09,19.3,0.07,-2.09,0.568,-0.076,-0.017
1606,23,-1.99,16.87,27.59,22.83,0.36,1.57,1.146,-0.006,-0.002
1609,25,-1.55,11.13,31.35,27.37,0.4,5.45,1.433,-0.025,-0.053
1613,2,-0.32,16.8,41.06,34.32,0.44,7.57,1.322,0.112,0.046
1614,22,1.41,18.68,17.66,22.42,-0.27,-3.14,1.586,-0.05,-0.03
1616,21,-0.26,6.93,11.07,12.11,0.03,0.82,1.498,-0.014,-0.084
1617,4,1.28,18.86,28.08,27.65,0.5,0.09,1.481,-0.018,-0.018
1618,25,-0.54,9.94,14.53,19.35,0.54,0.14,1.655,0.003,-0.059
1619,21,-0.48,7.11,4.91,5.72,0.22,-1.62,0.283,-0.029,-0.029
1622,19,0.56,11.7,21.52,21.84,1.28,2.28,1.367,-0.061,-0.077
1623,6,0.38,18.81,21.71,18.17,0.15,-2.13,3.89,0.073,-0.038
1626,18,0.62,16.89,24.14,26.57,0.7,-1.42,3.626,0.009,-0.074
1631,23,1.04,15.19,31.03,26.79,0.8,4.1,2.167,-0.038,-0.055
1633,3,1.01,8.89,0.68,19.12,22.44,0.21,1.29,0.023,S/D
1636,5,2.96,19.49,26.88,28.34,0.82,0.24,2.822,-0.023,-0.074
1645,20,0.52,14.14,29.13,30.46,0.31,1.93,1.895,-0.024,-0.053
1646,26,0.17,8.99,15.73,10.55,1.13,1.05,1.071,-0.046,-0.045
1648,3,0.3,13.7,18.92,18.34,0.6,0.2,0.808,0.001,-0.01
1649,23,-0.76,11.51,19.47,16.37,0.08,0.1,2.283,0.013,-0.043
1651,20,1.44,17.2,14.03,18.37,1.11,-3.77,0.512,-0.012,0.014
1652,3,1.08,13.73,28.52,25.99,0.98,3.91,1.238,0.054,-0.014
1655,25,2.69,16.75,15,18.35,0.61,-3.16,1.386,0.019,0.003
1662,18,1.92,17.87,28.16,28.75,0.75,1.3,1.936,-0.44,-0.06
1667,21,1.54,11.26,19.51,24.17,-0.1,0.63,-0.26,0.014,0.014
1668,19,2.06,22.5,34.28,33.13,-0.06,0.86,1.48,-0.015,-0.001
1669,24,1.36,11.81,18.65,18.47,0.7,1.22,2.329,-0.009,-0.074
1672,5,1.19,9.66,9.91,14.67,0.47,-1.25,0.197,-0.087,-0.072
1674,24,0.79,11.2,13.06,15.55,0.89,-1.09,0.247,-0.003,-0.01
1675,5,0,16,26.4,21,0,1,2.603,0.088,0.007
1681,20,0.28,9.93,10.29,13.01,0.96,-2.77,1.395,-0.02,-0.018
1682,20,2,10.55,11.72,14.46,0.39,-0.45,0.476,-0.149,-0.121
1684,6,1.2,12.74,18.48,22.09,0.74,0.96,0.177,-0.055,-0.028
