RP,LOTE,FPd,PN,PD,18m,PAV,FPm,HL,AOB,GR,MAR,CE,Icr,Ico
15823,16,4.1,1.1,27.7,52.1,49.7,0.4,11.8,2.9,0.38,0.17,1.2,158,136
15834,16,-1.3,2.3,29.6,50.4,56.5,-5.7,8.2,2.39,0.28,0.08,1.3,151,120
15835,16,3.2,1.1,24.8,46.3,49,0,12.2,3.74,0.33,0.21,1,143,127
15841,16,-0.7,1.1,23.5,40.9,48.3,-4.8,6.8,0.77,0.36,0.13,0.9,117,119
15849,15,2.4,1.2,29.3,46.5,36.9,-0.6,6.8,1.55,0.28,0.17,1.2,159,127
15851,9,8.8,0.2,24.4,39.7,45.2,3.7,14.9,1.87,0.36,0.11,1.1,154,94
15856,7,7.1,0.3,25.4,54.3,30,5.1,15.2,4.52,0.61,0.07,1.3,173,181
15857,9,10.4,-0.1,23.9,39.8,31.7,3.4,13.6,2.45,0.3,0.09,1.1,156,115
15859,7,5.5,0.8,26.3,44.5,38.8,0.3,11.6,2.26,0.33,0.06,1.3,158,120
15863,10,17.2,-1.7,23.3,36.2,31.9,9,14,2.58,0.58,0.03,1.1,155,96
15868,13,5.9,0.7,25.2,44.4,40.8,2,12.2,2.45,0.36,0.19,1.2,153,124
15874,10,4.4,1,24.5,45.3,39.4,0.1,11.8,2.58,0.28,0.14,1.2,148,133
15882,9,12.4,-0.2,27.8,45.9,39.6,7.3,14.5,3.1,0.58,-0.02,1.2,176,119
15887,10,5.2,0.5,24,30.9,33.7,0.3,10.8,1.68,0.48,0.19,1.2,146,77
15888,13,11.6,-0.1,25.4,48,42,4.6,12.4,2.39,0.38,0.19,1,152,132
15894,8,4.3,0.9,24.4,44.2,46.4,-0.1,10.7,2.26,0.33,0.13,1.1,138,120
15895,9,4.2,1.1,27.8,52,44.8,-0.1,16,2.06,0.53,0.18,1.2,177,141
15903,8,2.7,1.7,26.2,38,43.1,-0.5,8.4,2.65,0.41,0.16,0.5,139,106
15908,15,2.5,1.3,26.8,55,44.8,-1.2,12.5,3.48,0.53,0.17,1,158,165
15909,7,3.1,1.8,27.6,48,32.7,0.2,8.9,2.52,0.38,0.14,1.2,160,148
15910,10,7,1,25.2,37.3,31.9,4.6,10.3,2.06,0.38,0.12,1,151,111
15912,11,-6,2.8,28,59.8,52.2,-3.7,10.2,3.29,0.23,0.09,0.8,150,180
15921,14,8.6,0.7,25.7,41.8,50.9,2.6,11.2,3.1,0.38,0.12,1,143,99
15923,12,-0.3,1.9,25.3,42.1,30.8,0.4,9.8,2.65,0.25,0.17,1.4,153,132
15926,14,10.9,0.3,22.8,35.8,33.4,6,9.8,3.29,0.46,0.1,1.2,137,106
15931,7,5.2,1.2,26.5,52.5,44.7,-0.3,10.8,4.32,0.3,0.14,0.9,150,155
15939,12,-0.7,2.2,25.3,47.4,40.5,1.3,8.6,3.29,0.28,0.2,1,139,150
15940,11,-7,3.3,32,60,49,-5,9.8,4,0,0,1,170,176
15943,12,0.4,1.7,27.6,55.3,41.4,-1.1,10.6,3.42,0.3,0.12,1,158,169
15944,15,2.8,1.5,25.3,45.6,40,-1.6,11.5,2.26,0.33,0.21,0.8,149,139
15947,8,5.2,1.1,23.3,44.5,38.4,2.7,10.9,3.16,0.43,0.17,1.2,139,138
15948,14,6.9,0.6,23,46.2,37.3,0.6,13.1,2.13,0.43,0.24,0.9,145,144
15957,15,5.6,1.4,27.7,54.4,49,5.2,9.5,4.13,0.46,0.15,1.5,152,150
15965,8,8.9,0.5,23.9,49.9,49.6,3.3,12.6,2.9,0.28,0.14,0.9,139,141
15966,14,1.6,1.5,21.5,39.8,37.3,1.9,8,2.9,0.18,0.11,1,119,130
15971,11,1.5,1.2,29.3,52.3,53,0.4,11.5,3.03,0.15,0.12,1,162,129
15978,13,10.8,-0.3,23.2,46,46.4,0.8,3.6,12.5,2.77,0.36,0.17,137,128
15983,13,0.9,2,24,41.8,32.7,0.8,7.1,2.77,0.2,0.12,1.1,133,138
15986,12,1.3,1.8,30.8,55,59.3,-0.7,12.2,2.9,0.48,0.18,0.9,168,134
15988,11,-2.2,2.4,28.4,54.1,42.8,-2,7.8,3.1,0.13,0.06,1.2,153,160
