RP,Padre,PIG (I/D),NAC,DEST,18 M,LECHE,AOBc,C.ESC,ICR,Icomp
12668,CL1 Domino 215Z,50/100,2.3,28.1,52.4,9.8,1.740,1.00,152,149
12678,CL1 Domino 955W,50/50,1.5,22.6,43.9,13.6,4.060,0.60,138,139
12680,Baqueano Advance 5212-14,100/100,0.9,22.1,40.8,11.6,2.450,1.80,134,101
12686,Baqueano Advance 5212-14,50/100,1.6,26.3,48.6,12.4,2.450,1.60,152,113
12687,Baqueano Advance 5212-14,75/50,0.9,22.0,44.4,12.6,2.650,1.40,133,119
12688,Baqueano Advance 5212-14,75/100,2.4,25.5,49.4,13.1,1.810,1.00,150,140
12695,Baqueano Advance 5212-14,100/100,1.7,24.3,44.0,10.6,2.130,0.40,136,136
12707,Baqueano Advance 5212-14,100/0,2.0,24.2,50.9,13.5,3.030,1.20,144,143
12708,Baqueano Advance 5212-14,100/100,2.0,27.5,49.9,13.3,2.450,1.30,166,131
12714,Ceibal Domino 330 - 10,75/25,2.2,23.7,41.3,9.8,2.520,0.80,134,127
12715,Baqueano Domino 955-4,,2.2,25.4,42.8,9.1,2.840,0.70,138,125
12721,Baqueano Domino 955-4,100/100,2.3,23.4,43.9,11.2,2.520,0.60,130,130
12725,Baqueano Advance 7101-14,25/75,1.1,25.4,54.2,13.5,3.810,0.90,150,154
12728,Baqueano Advance 5212-14,0/100,1.4,25.9,48.2,14.0,3.160,1.30,159,125
12738,CL 1 Domino 7131E 1ET,100/100,2.0,29.8,53.4,15.8,3.160,1.00,183,141
12742,Baqueano Advance 7101-14,100/25,0.9,25.4,47.8,12.0,3.100,1.10,150,131
12744,Baqueano Domino 955-4,100/75,1.9,27.2,45.5,11.8,3.420,0.80,155,122
12747,Baqueano Advance 7101-14,75/75,0.8,22.8,44.6,12.2,3.030,0.70,132,127
12752,Baqueano Advance 7101-13,100/100,2.0,26.0,41.7,11.1,3.610,0.50,157,141
12756,Baqueano Domino 955-4,75/100,2.1,25.2,44.8,13.7,3.420,0.90,150,124
12759,Baqueano Domino 955-4,100/100,1.7,23.4,46.2,12.1,3.290,0.30,137,155
12760,Baqueano Domino 955-4,100/50,2.1,25.2,45.5,12.1,2.970,0.60,147,137
12762,Baqueano Domino 955-4,100/75,1.3,25.4,50.9,12.0,3.160,0.90,147,146
12780,Baqueano Advance 7101-14,25/0,1.6,24.1,41.5,12.9,2.840,0.90,146,116
12784,Baqueano Advance 7101-14,100/100,1.3,25.2,35.9,13.4,3.350,0.70,150,83
12787,Baqueano Domino 955-4,100/100,1.3,22.0,43.7,11.6,2.320,0.70,130,139
12790,Baqueano Advance 7101-14,25/75,0.9,24.9,38.8,11.7,3.550,0.20,144,115
12794,Baqueano Advance 5212-14,100/100,1.5,25.7,50.3,13.5,2.840,1.50,157,133
12799,Baqueano Advance 5212-14,0/100,0.9,22.9,44.6,12.7,2.840,0.80,137,130
12801,Baqueano Advance 5212-14,100/100,1.7,26.3,45.8,13.3,2.390,1.20,157,114
12813,Baqueano Domino 955-4,100/50,2.1,24.3,46.5,12.2,3.100,0.40,135,137
12817,Baqueano Advance 7101-14,100/100,0.2,21.0,42.5,12.7,3.030,0.70,123,119
12825,Baqueano Advance 7101-14,75/75,1.7,27.3,50.8,12.2,4.060,1.30,161,139
12830,Baqueano Advance 5212-14,100/100,0.5,20.7,40.6,13.1,2.190,1.40,131,111
12837,CL 1 Domino 297Z,100/100,1.4,24.1,46.2,12.9,2.970,0.50,144,143
12842,Baqueano Domino 7131-3,100/75,2.0,25.4,46.8,9.9,2.190,0.70,140,138
12845,Baqueano Domino 5110-2,0/100,1.1,20.9,40.8,12.6,2.650,0.40,130,142
12848,CL 1 Domino 955W,100/50,1.1,21.5,38.5,10.0,2.710,0.80,121,112
12852,CL 1 Domino 297Z,100/100,1.1,23.6,46.5,12.2,3.030,0.50,134,139
12853,Baqueano Domino 7131-3,100/100,2.5,27.7,46.9,12.2,2.260,0.40,161,143
12854,CL 1 Domino 297Z,100/100,2.0,24.8,46.3,12.7,3.030,0.80,143,129
12863,Baqueano Domino 9222-30,100/100,0.9,21.6,39.7,9.5,2.580,0.20,113,120
12864,CL 1 Domino 297Z,100/100,1.7,26.1,43.7,13.5,1.680,0.40,151,113
12866,CL 1 Domino 297Z,100/100,2.0,26.6,49.4,12.6,2.580,0.90,155,138
12871,CL 1 Domino 5110C,75/100,1.8,26.0,44.6,14.9,1.420,0.90,169,134
12872,CL 1 Domino 297Z,25/100,2.1,26.3,45.1,12.4,2.390,0.40,156,142
12873,CL 1 Domino 5110C,0/0,1.4,24.4,42.8,14.9,2.060,0.80,158,128
12878,CL 1 Domino 5110C,0/50,1.3,24.3,42.1,15.2,2.130,0.80,156,119
12880,CL 1 Domino 5110C,100/75,1.0,22.6,47.4,16.1,2.520,0.90,148,142
12882,CL 1 Domino 297Z,75/100,1.3,23.0,45.1,13.3,1.740,0.80,137,129
12885,Baqueano Domino 215-2,100/100,1.2,28.5,49.9,12.2,2.520,0.70,161,130
12886,CL 1 Domino 5110C,100/100,1.6,27.4,46.0,14.8,2.710,0.80,176,138
12887,Baqueano DominoO 11627-5,100/100,2.2,24.2,45.5,12.2,3.160,0.70,141,140
12890,CL 1 Domino 297Z,50/100,1.6,24.3,43.6,11.6,2.710,0.90,146,133
12896,Baqueano Domino 5110-1,100/100,-0.2,21.5,36.8,12.1,2.520,0.40,138,126
12900,Baqueano Domino 7131-2,50/100,2.4,25.0,49.4,12.7,3.030,0.80,145,147
12903,Baqueano Domino 7131-1,100/100,2.6,29.9,45.1,11.9,3.160,0.80,168,113
12908,Baqueano Domino 5110-1,75/75,0.6,20.8,33.3,11.2,1.550,0.50,130,114
