RP,lote,NAC,DEST,LECHE,18m,PA_V,CE,AOB,EGS,MARB
1016,1,1.34,19.34,5.27,36.65,31.47,0.21,1.336,-0.03,0.011
1485,,-0.49,18.64,1.22,29.14,22.85,0.09,1.911,-0.014,S/D
1019,1,-0.18,13.76,-3.33,12.32,15.16,0.71,1.053,-0.027,-0.037
1498,,-0.76,14.78,-3.35,14.67,15.66,0.55,1.077,-0.044,S/D
1055,2,0.31,15.89,-6.54,11.1,19.59,0.39,0.562,-0.029,-0.017
1500,,0.38,17.67,-4.95,16.08,20.43,0.39,0.831,-0.045,S/D
1084,2,0.38,18.23,-0.5,25.09,24.35,0.34,1.551,0.041,0.05
1502,,-0.07,17.86,-1.93,21.98,21.43,0.37,1.326,-0.01,S/D
1163,7,-0.4,20.55,1.28,32.3,30.49,S/D,2.00,-0.006,-0.021
1176,5,-1.37,25.42,-4.95,24.48,21.81,S/D,2.00,0.033,0.074
1213,6,-0.54,11.59,-1.44,13.14,5.72,0.28,3.00,0.084,0
1216,7,0.12,10.75,-1.09,10.52,12.44,0.35,-0.151,-0.059,-0.033
1217,6,-0.06,6.57,4.23,18.38,16.49,0.6,0.885,0.06,0.003
1220,6,0.75,5.65,6.48,25.12,26.45,0.69,1.00,0.048,-0.019
1227,6,0.39,5.27,3.9,17.39,18.9,0.46,0.894,0.067,-0.018
1232,6,-0.06,10.13,1.73,15.89,17.03,0.47,2.00,0.034,-0.024
1238,7,1.29,14.76,-0.2,23.21,29.59,0.87,0.697,-0.048,-0.031
1239,5,-0.72,14.77,1.76,25.44,22.89,0.75,2.00,-0.046,-0.062
1243,5,0.91,14.3,4.13,29.49,29.51,0.51,1.00,0.035,0.006
1244,8,1.07,16.85,-1.63,22.65,28.53,0.56,0.818,0.103,0.06
1245,7,0.35,6.87,-0.18,9.66,11.27,0.23,0.364,-0.013,-0.031
1247,5,0.56,10.39,2.44,20.59,21.68,0.51,1.078,-0.066,-0.096
1251,8,0.38,6.93,0.39,9.43,9.19,0.42,0.054,-0.004,-0.031
1254,8,1.56,17.33,0.51,24.58,25.47,0.64,0.985,-0.056,-0.059
1255,5,0.17,6.02,1.63,14.64,18.31,0.57,1.00,0.019,-0.072
1256,8,0.66,10.39,-0.13,17.24,20.18,0.25,0.664,-0.012,-0.03
1257,7,1.46,11.11,1.77,21.14,23.39,0.56,2.00,-0.079,-0.125
1263,8,0.13,10.22,0.88,18.01,12.94,0.08,2.00,0.023,-0.022
1266,8,0.24,17.73,1.12,25.97,S/D,0.62,2.00,0.007,S/D
1280,C2,0.49,15.31,-2.88,16.07,S/D,0.05,0.653,-0.1,S/D
1283,C2,1.20,24.45,-2.42,30.93,33.26,S/D,1.639,0.025,S/D
1293,C2,0.90,22.22,-4.02,24.79,27.26,S/D,1.524,0.04,S/D
1328,C1,0.38,21.7,-4.88,23.4,31.12,0.69,0.819,-0.139,-0.034
