RP,LOTE,FPD,NAC,DEST,18M,PA_V,FPM,HL,AOB,GR,MAR,CE,ICr,ICo
15331,3,10.8,0.2,25.2,39.1,33.2,2.4,9.5,2.130,0.530,0.03,1.2,149,107
15827,,8,0.6,25.8,46.5,46.4,1.8,11.2,2.550,0.530,0.10,1.0,147,124
15375,4,-0.9,1.7,28.9,54.8,59.6,1.8,12,2.320,0.030,0.03,0.7,156,135
15819,,5,1.0,27.2,49.9,51.9,0.8,12.4,2.545,0.535,0.00,0.9,155,128
15400,3,1.3,1.6,28.1,51.9,52.6,-0.5,12.6,3.550,0.790,0.12,1.0,160,137
15818,,6.1,0.9,26.8,48.5,48.4,-0.4,12.7,3.160,0.920,0.05,1.0,157,129
15420,3,4.8,1.3,28,54.7,51.3,1.4,10.1,4.000,0.280,0.08,1.1,153,147
15826,,7.8,0.8,26.7,49.9,47.7,0.6,11.5,3.385,0.660,0.03,1.1,153,134
15452,4,6.8,0.8,18.7,45.3,51.9,1.7,10.9,1.550,0.790,0.22,1.1,105,137
15821,,8.8,0.5,22.1,45.2,48,0.8,11.9,2.160,0.915,0.10,1.1,129,129
15518,10,6.1,1.3,29.1,36.8,43,1.7,8.8,2.840,1.040,0.06,0.9,159,84
15519,9,7.3,1.0,29.2,43.6,46.4,2.5,10.5,2.650,1.040,0.14,1.2,165,101
15599,10,2.4,1.3,25,53.4,55.2,0.7,12.3,2.260,0.530,0.04,1.0,141,147
15605,10,7.3,0.4,21.5,39.8,43.8,1.9,9.2,1.940,0.790,0.05,0.8,118,117
15615,9,17.5,-1.6,19.8,42.1,50.3,7.7,11.1,2.520,0.790,0.11,1.0,112,108
15616,9,13.9,-0.6,22.3,49.4,52.7,6.7,10.6,2.900,0.790,0.23,1.0,122,134
15629,10,9.8,-0.2,21,43.4,41.7,3.9,8.8,2.520,0.790,0.08,1.1,117,131
15631,9,12.5,-0.6,22,51.3,48,6.2,11.4,2.650,0.790,0.08,0.8,126,153
