RP,LOTE,FPD,NAC,DEST,18M,PA_V,FPM,HL,AOB,GR,MAR,CE,ICr,ICo
15508,11,8.8,0.5,24.1,41.1,43,3.9,11.2,1.74,0.28,-0.02,1.0,141,107
15509,C4,2.4,1,27.7,40.1,52.6,1.5,10.8,2.9,0.28,-0.01,0.9,151,82
15515,25,0.3,2.4,24.8,34.1,31.4,-1.6,9.6,1.48,0.53,-0.17,1.1,148,104
15517,10,11.7,0.3,23.5,41.3,40.7,2.9,10.4,2.13,0.53,0.07,0.8,135,118
15520,10,3.3,1.7,31.5,48.6,42,0.7,11,3.42,0.53,0.07,1.3,183,120
15521,11,11.4,-0.5,21,31.9,33.6,2.8,12.5,2.13,0.79,0.14,1.0,135,89
15522,26,4.7,1,25.9,46.3,51,3.1,11.8,2.9,0.53,0.08,1.1,147,116
15529,13,1.9,1.7,30.9,55.1,45.6,0.2,11,4.9,0.53,0.07,1.1,176,151
15530,12,-4.1,2.9,28.4,45.5,40.5,-2.9,10.9,2.06,-0.23,-0.09,0.7,163,131
15534,26,-6.8,3.4,37.9,50.4,44.7,-5,10.3,3.55,0.53,-0.04,1.2,212,113
15535,12,-3.9,2.3,24.9,43.9,39,-7,8.1,2,0.03,0.04,0.9,136,136
15550,11,9.1,0.9,23.1,38.3,27.7,1.1,8,1.55,0.79,0.08,1.1,136,127
15555,16,7.1,0.5,23.7,38.6,41,-1.2,7.5,2.45,0.79,0.14,1.1,128,106
15557,24,2.6,1.4,22.3,46.3,54.3,0.4,8.1,2.84,1.04,0.04,0.9,111,136
15559,23,9,0.1,27.8,40.6,40.2,3.4,10.5,3.03,1.04,0.11,1.2,162,97
15561,24,0.7,1.4,20,41.7,48.2,0.7,8.4,1.23,0.53,0.08,0.7,103,131
15562,24,1.2,1.5,22.7,44.5,37.4,1,10,2.26,1.04,0.09,1.2,134,146
15566,14,7.9,0.7,20,39.6,42,2.9,8.6,1.87,0.79,0.09,1.1,111,123
15567,12,4,1.4,26.5,53.3,66.9,1,10.2,3.35,0.79,0.15,0.7,131,133
15569,24,1.4,1.7,24.1,41.9,46.2,-0.1,9.2,1.81,0.53,0.13,0.6,129,123
15571,15,4,1.3,23.4,45.8,48.8,0.5,10.9,2.06,0.79,0.18,0.8,130,134
15574,11,-1.7,2.2,26.4,56,47.9,-1.6,9.6,2.52,0.79,-0.01,0.9,143,174
15577,10,4.6,0.7,31.3,54.7,39.2,1.7,8.3,4.19,0.53,0.23,1,173,152
15583,14,-0.8,2.4,26,48.9,41.2,0.1,9.2,2.65,0.79,0.07,1.2,146,152
15586,26,7.2,0.8,22.6,46.5,48.6,1.3,9.5,2.52,0.53,0.17,0.9,122,135
15590,14,5.2,0.5,23.9,39.4,37.8,1.9,11.4,2.9,-0.23,0.05,0.9,144,108
15593,16,7.2,0.9,24,45.7,46.7,3.6,11.2,2.32,0.79,0.23,1.1,138,128
15598,13,7.5,0.9,27,47.8,53.6,2.9,11.2,2.52,0.53,0.2,1.1,149,114
15600,14,4.3,0.9,23.5,52.1,53.1,1.9,12.5,3.1,0.79,0.06,1,135,150
15606,10,2.8,1.5,26.6,55.5,47.2,0.7,7.7,3.16,0.79,-0.04,0.8,138,171
15607,25,7.5,0.7,27.2,59.2,54.1,3.1,11.7,2.97,0.53,0.16,1,151,162
15610,15,5.5,1,24.1,52,54.9,2.1,12.2,2.84,0.79,0.18,0.8,134,148
15614,15,3.7,1.3,24.4,43.5,47,0.1,10.1,2.39,0.28,0.13,0.9,135,119
15617,13,4.9,1.3,23.8,50.4,33.4,3.2,9.9,3.1,1.29,0.11,1.1,142,176
15620,13,0.2,1.6,29.2,55.4,46.4,0,10,4.13,0.53,-0.02,1,162,158
15622,16,10,-0.3,20.6,35.4,37.1,4.8,8.3,1.87,0.53,0.14,0.9,116,104
15626,23,10.5,0.1,19.3,38.2,43.9,4.6,6.6,2.06,0.79,0.16,1.3,100,111
15628,12,4.9,1,23.6,49.7,41.4,0.7,8.5,2.84,0.28,0.03,0.9,129,156
15630,25,9,0.1,21,35.7,38.2,3.4,9.5,1.16,0.28,0.09,1,122,100
15635,23,2.2,1.6,27.2,58.9,63,1.3,10.6,2.58,0.79,0.13,1,141,156
15637,23,10,0.4,29.1,45.5,47.3,4,11.2,3.61,1.29,0.19,1.3,167,105
