LOTE,DESC
1,27 Terneras
2,21 Terneras
3,36 Terneras
5,30 Vaquillonas de Sobreaño
6,26 Vaquillonas de Sobreaño
7,14 Vaquillonas de Sobreaño
8,22 Vaquillonas de Sobreaño
9,23 Vaquillonas de Sobreaño
10,25 Vaquillonas de Sobreaño
11,19 Vaquillonas Preñadas
12,18 Vaquillonas Preñadas
13,30 Vaquillonas Preñadas
14,29 Vaquillonas Preñadas
15,38 Vaquillonas Preñadas
16,29 Vaquillonas Preñadas
17,27 Vacas de segundo entore
18,33 Vacas de segundo entore
19,32 Vacas de segundo entore
20,21 Vacas de segundo entore
21,18 Vacas Mayores
22,27 Vacas Mayores
23,33 Vacas Mayores
24,45 Vacas Mayores
25,5 Toros
