LOTE,,,
1,Establecimiento Los Puestos,Aberdeen Angus SA,RP: 6013 | 6068 | 4750 | 3114 | 4659
2,Establecimiento Los Puestos,Aberdeen Angus SA,RP: 4651 |3146 | 6107 | 6034 | 3128
3,Establecimiento Los Puestos,Aberdeen Angus SA,RP: 6093 | 6026 | 6051 | 4635 | 3101
4,Establecimiento Los Puestos,Aberdeen Angus,RP: 6047 | 4687| 4734 | 6181 | 6041 | 6184
1,Cabaña La Identidad y Doña Aris,Vaquillonas Red Angus SA preñadas,RP: 5546 | 6093 | 5520 | 4720 | 4741
2,Cabaña La Identidad y Doña Aris,Vaquillonas Aberdeen Angus SA preñadas,RP: 5969 | 4347 | 5462 | 0305 | 5454
3,Cabaña La Identidad y Doña Aris,Vaquillonas Red Angus SA preñadas,RP: 5530 | 5539 | 5552 | 6095
4,Cabaña La Identidad y Doña Aris,Vaquillonas Angus vacías ,RP: 4370 | 5475 | 5448 | 5469 | 5473 | 5527
5,Cabaña La Identidad y Doña Aris,Vacas Red Angus SA preñadas,RP: 7663 | 6719 | 9049 | 3296 | 4372
6,Cabaña La Identidad y Doña Aris,Vacas Aberdeen Angus preñadas,RP: 0566 | 4797 | 9063 | 3371 | 2695
7,Cabaña La Identidad y Doña Aris,Vacas Angus preñadas,RP: 7679 | 3489 | 2697 | 2667
8,Cabaña La Identidad y Doña Aris,Vacas Red Angus vacías,RP: 0638 | 2946 | 7632 | 7960 | 5302
9,Cabaña La Identidad y Doña Aris,Vacas Red Angus vacías,RP: 7628 | 9044 | 9469 | 9045 | 9401
10,Cabaña La Identidad y Doña Aris,Vacas Red Angus SA vacías,RP: 4283 | 9443 | 9476 | 7640 | 9046
11,Cabaña La Identidad y Doña Aris,Vacas Red Angus vacías,RP: 7655 | 6065 | 7711 | 9449 | 9450
12,Cabaña La Identidad y Doña Aris,Vacas Aberdeen Angus vacías ,RP: 0630 | 4406 | 2706 | 0549 | 4341
13,Cabaña La Identidad y Doña Aris,Vacas Aberdeen Angus SA vacías ,RP: 3518 | 0543 | 2704 | 8004 | 2679
14,Cabaña La Identidad y Doña Aris,Vacas Aberdeen Angus vacías ,RP: 4377 | 9559 | 4353 | 2697 | 2716 | 0528 | 4796
