RP,Padre,Peso al nacer,Peso al destete,Peso de 18 meses,LECHE,AOBc,CE(cm),Pig
13005,BAQUEANO DOMINO 215-3,1.1,18.9,50.2,11,1.1,40,100/75
13007,BAQUEANO DOMINO 215-3,2.3,25.2,49,12.2,2.19,41.5,100/100
13008,BAQUEANO DOMINO 215-8,0.9,25,45,11.9,1.87,40,100/100
13009,BAQUEANO DOMINO 215-8,2.2,30.3,53,11.8,2.19,38,75/75
13011,BAQUEANO DOMINO 215-3,2,25.6,41.3,11.5,2.13,37.5,100/100
13013,BAQUEANO DOMINO 7131-6,2.2,23.6,41.3,10.7,1.48,39.5,100/100
13025,BAQUEANO DOMINO 215-3,1.2,25.3,51.3,13.2,3.94,39,100/100
13031,BAQUEANO DOMINO 215-3,2.4,28.3,52.9,13,2.77,-,-
13037,BAQUEANO DOMINO 215-8,0.2,24.2,36.4,10.1,1.03,39,100/100
13038,BAQUEANO DOMINO 215-8,2.1,28.7,50.1,11.6,2.19,37,100/100
13039,BAQUEANO DOMINO 215-3,1.9,26.1,46.3,12.7,2.52,41,75/50
13044,BAQUEANO DOMINO 215-3,1.4,25.1,48.7,13.5,2.77,39,25/75
13050,BAQUEANO DOMINO 215-3,1.7,25.4,51.8,12.2,2.71,-,-
13052,BAQUEANO DOMINO 215-3,2.1,26.8,48,12.8,2.71,-,-
13055,BAQUEANO DOMINO 5110-2,1.2,23.7,46.3,14.7,3.16,377.5,75/75
13057,BAQUEANO DOMINO 215-3,1.6,28,54.7,13.1,2.9,-,-
13060,BAQUEANO DOMINO 5110-1,1.5,25.5,42.5,13.3,2.45,40,100/100
13072,BAQUEANO DOMINO 5110-1,1.6,26,43.9,14.4,3.1,43,75/75
13077,BAQUEANO DOMINO 5110-1,1.4,24.8,44.2,12.8,4.06,40,100/100
13083,BAQUEANO DOMINO 5110-2,1.1,22.5,49.8,15.2,3.16,-,-
13089,BAQUEANO DOMINO 5110-2,2,21,44.4,13.1,2.65,44,75/100
13091,BAQUEANO DOMINO 5110-1,1.7,23.8,44.5,10.8,2.71,39,75/75
13099,BAQUEANO DOMINO 5110-1,1.3,23.5,46.1,13.2,2.97,37.5,100/75 
13114,BAQUEANO DOMINO 5110-1,0.9,26.2,46.4,14.1,3.23,35.5,100/100
12838,CL 1 DOMINO 7131E 1ET,1.4,24.4,48.6,11,2.13,39.5,0/100
12839,CL 1 DOMINO 7131E 1ET,2.6,26.8,54.3,12.5,2.58,37,100/100
12842,BAQUEANO DOMINO 7131-3,2.1,24.9,48.6,9.1,2.13,39,100/75
12848,CL1 DOMINO 955W,1.2,21.2,38.6,9.8,2.77,40,100/75
12872,CL 1 DOMINO 297Z,2.2,25.9,45,12.1,2.45,39,75/75
12873,CL1 DOMINO 5110C,1.4,24.3,43.2,15.6,2.13,37.5,0/25
12875,BAQUEANO ADVANCE 5212-14,2.4,28.5,57.7,13.9,3.16,42.5,100/100
12877,CL 1 DOMINO 297Z,1.3,22.2,43,11.8,2.97,41,0/100
12884,CL1 DOMINO 5110C,1.5,23.1,47,16,2.26,42.5,75/75
12888,BAQUEANO DOMINO 5110-2,0.3,21,48.4,14.8,3.48,40.5,0/25
12889,CL 1 DOMINO 297Z,0.3,21.5,43.6,11.9,2.65,41.5,75/75
12895,CL 1 DOMINO 297Z,0.9,21,43.4,13.6,2.58,40,100/100
12896,BAQUEANO DOMINO 5110-1,-0.1,21.4,36.7,12.9,2.71,39,100/100
12901,BAQUEANO DOMINO 7131-1,0.4,23,43.8,11.5,2.58,41,75/100
12905,BAQUEANO DOMINO 12441-3,1.7,27.3,52.8,11.8,2.84,42,50/100
12906,BAQUEANO DOMINO 12445-1,1.1,26.8,52,12.7,3.68,42,50/75
12907,BAQUEANO DOMINO 215-2,1.7,26.6,51.7,12.7,2.97,41.5,50/25
12909,CL 1 DOMINO 297Z,2.1,30.3,57.1,16.1,3.16,38.5,100/75
12910,CL 1 DOMINO 297Z,1.7,23,44.5,14.1,2.26,40,75/75
12915,BAQUEANO DOMINO 215-3,1.2,23,43.4,14,1.74,37,100/100
12920,BAQUEANO DOMINO 9222-30,2,23.1,39.3,9,2.26,39.5,100/100
12921, BAQUEANO DOMINO 215-3,2.5,29.8,53.1,13.7,2.97,39.5,100/50
12931,BAQUEANO ADVANCE 5212-14,1.3,23.4,53,14.7,2.84,41,50/75
12937,BAQUEANO DOMINO 11244-30,2.5,25.7,42.5,8.3,1.87,40,25/25
12959,BAQUEANO DOMINO 215-2,1,25,46.4,13.6,2.52,38.5,100/100
12961,BAQUEANO DOMINO 9222-30,1.8,20.1,41,8.3,2,37,100/75
12969,BAQUEANO DOMINO 11244-30,2.4,25.8,44.7,9.7,2.65,40,50/25
12975,BAQUEANO ADVANCE 11186-30,1.3,23.1,50.3,10.9,3.55,41,75/0
12983,BAQUEANO DOMINO 11244-30,2.6,28.1,51.4,10.7,4.19,41,100/100
12985,BAQUEANO DOMINO 11244-30,2.3,24,42.3,9.6,2.45,42.5,100/50
