RP,Padre,Peso al nacer,Peso al destete,Peso de 18 meses,LECHE,AOBc,MARB,C.ESC
12913,BAQUEANO DOMINO 5110-2,1.1,23,40.5,14.3,2.32,0.11,0.9
12914,BAQUEANO DOMINO 7131-1,2.7,27.6,44.6,11.3,2.65,-0.03,1.1
12919,BAQUEANO DOMINO 11244-30,2.8,27.1,52.2,10.1,3.48,-0.01,1.2
12926,BAQUEANO DOMINO 7131-2,1.2,19.8,46.4,11.2,3.35,0.09,1.1
12930,BAQUEANO DOMINO 11244-30,2.6,22.7,42.7,8.5,2.97,0,0.9
12934,BAQUEANO DOMINO 11244-30,1.9,27.4,44.2,10,2.45,0.05,1.4
12942,BAQUEANO DOMINO 9222-30,1.8,20.2,38.6,10,1.87,0.12,0.2
12945,BAQUEANO ADVANCE 5212-14,1.9,24.1,46,12.7,2.19,0.07,2.1
12948,BAQUEANO DOMINO 9222-30,2,24.4,38.8,6.8,1.35,0.06,0.5
12963,BAQUEANO ADVANCE 11186-30,2.4,22.7,31,8.5,1.74,0,0.2
12967,BAQUEANO ADVANCE 5212-14,1.1,22.1,33.7,11.5,1.1,0.09,0.7
12973,BAQUEANO ADVANCE 11186-30,0.2,19.1,36.5,10.4,2.52,0.1,0.6
12979,BAQUEANO ADVANCE 5212-14,1.9,23,43,10.7,1.87,0.04,1.2
12981,BAQUEANO DOMINO 9222-30,2.1,21.9,40.6,9.8,2.13,0.06,0.8
12982,BAQUEANO ADVANCE 5212-14,1.4,23.8,42.8,13.1,2.13,0.04,1
12993,BAQUEANO ADVANCE 11186-30,1.6,23.3,41.9,13.3,2.58,0.11,0.6
