LOTE,RP,PESO,CE
1,J018,684,37.5
1,J031,696,39
1,J055,748,38.5
2,1866,780,37.5
2,1921,684,40.5
2,1932,726,41
3,J006,774,41
3,J041,760,36
3,J076,738,43
4,1872,760,38.5
4,1877,754,39.5
4,J017,732,41
5,J019,730,38.5
5,J069,716,39.5
5,J090,716,41.5
6,J078,722,41.5
6,J081,680,37.5
6,J102,702,38
7,J002,680,39.5
7,J034,650,40
7,J079,612,37.5
8,J042,700,39.5
8,J062,698,42
8,J103,718,37.5
9,1875,720,38
9,1889,728,38.5
9,J123,676,39.5
10,1908,654,40.5
10,J026,668,38.5
10,J138,644,39
11,1883,642,38 
11,1902,644,40.5
11,J149,650,37
12,1901,690,38.5
12,J030,686,39.5
12,J075,664,39.5
13,J105,622,37.5
13,J140,648,39.5
13,J143,622,39.5
14,J036,638,39.5
14,J058,634,40.5
14,J086,638,41.5
