LOTE,RP,NAC,DEST,18M,CE,AOB,EGS
1,1343,0.53,19.37,29.72,0.62,1.63,0.058
1,1366,0.78,25.08,36.38,0.21,1.133,0.099
1,1385,0.28,13.15,36.5,0.56,1.904,0.065
1,1453,0.84,25.34,23.7,0.23,2.228,0.001
2,1316,1.9,26.39,42.07,0.88,2.08,0.062
2,1320,0.46,18.8,22.92,0.58,2.304,-0.05
2,1324,0.46,18.8,22.92,0.58,2.304,-0.05
2,1356,1.96,25.82,49.74,1.33,2.513,0.014
3,1351,0.99,23.3,36.86,0.41,1.243,0.005
3,1357,0.31,25.88,39,0.63,1.219,0.022
3,1373,1.07,23.43,45.79,0.82,1.936,0.07
3,1374,1.8,11.57,20.33,0.07,1.431,-0.002
4,1318,1.14,29.26,53.33,0.97,3.051,0.066
4,1353,1.05,19.72,30.88,1.54,1.876,0.043
4,1367,1.15,21.89,26.18,0.01,2.156,-0.001
4,1419,1.18,11.11,20.48,-0.09,0.63,-0.03
5,1337,-0.15,23.73,29.48,0.43,1.635,0.056
5,1346,3.67,20.9,23.38,1.08,1.285,-0.054
5,1376,1.61,11.68,21.35,0.73,1.272,0
5,1403,1.46,13.05,30.11,0.37,0.878,0.06
6,1313,-0.95,20.89,36.03,1.04,1.345,-0.021
6,1322,2.6,25.69,31.76,0.76,0.883,-0.018
6,1330,0.62,19.92,22.6,0.46,1.166,-0.095
6,1355,0.08,15.14,16.3,0.05,2.108,0.009
7,1364,0.3,20.72,25.83,0.93,1.658,-0.104
7,1381,0.14,9.49,23.36,0.82,1.572,0.008
7,1410,0.32,16.19,26.79,0.83,2.361,0.054
7,1447,0.67,18.28,11.2,-0.21,2.545,-0.004
8,1311,1.84,25.69,33.98,0.77,0.335,-0.108
8,1326,0.62,19.92,22.6,0.46,1.166,-0.095
8,1331,0.52,17.51,24.6,0.89,S/D,S/D
8,1402,1.41,14.19,11.48,0.08,1.514,-0.039
9,1347,2.85,20.82,22.16,0.7,1.103,-0.016
9,1360,0.27,13.74,11.36,0.44,0.313,-0.067
9,1363,1.68,13.09,10.36,0.01,0.257,0.015
9,1370,0.67,19.19,21.78,0.69,2.182,0.062
10,1501,0.93,18.94,20.94,S/D,S/D,S/D
19,1382,-1.41,8.42,20.48,0.64,1.097,0.005
19,1391,0.66,15.64,13.52,0.53,0.56,0.011
19,1393,0.45,3.11,4.63,0.33,0.479,0.014
19,1450,1.34,9.22,16.81,1.1,1.177,-0.061
20,1375,1.84,13.94,15.92,-0.02,0.287,-0.027
20,1386,-0.07,16.12,27.52,1.23,1.208,0.001
20,1399,0.98,11.78,7.69,0.08,0.083,-0.057
20,1460,0.4,7.35,4.98,-0.03,1.236,0.039
21,1411,1.95,18.05,34.65,1.22,0.88,0.028
21,1422,0.86,6.69,30.66,0.41,2.068,0.065
21,1448,0.88,9.42,15.99,0.32,1.896,-0.02
21,1455,0.69,11.68,17.97,0.07,1.457,0.14
22,1383,1.62,14.73,13.17,-0.36,0.756,-0.028
22,1416,1.65,8.73,7.93,-0.07,1.181,-0.065
22,1425,0.41,5.36,13.11,0.38,0.751,0.072
22,1464,-0.04,6.15,-4.04,0.13,1.566,0.038
23,1334,0.46,18.8,22.92,0.58,2.304,-0.05
23,1424,0.68,5.27,-6.93,0.21,1.05,-0.009
23,1436,0.61,3.83,-2.68,0.24,0.825,-0.023
23,1461,0.89,15.88,4.85,0.15,1.434,-0.026
24,1405,0.13,3.98,3.41,-0.07,0.006,-0.014
24,1440,-0.65,3.09,0.49,0.34,1.538,0.096
24,1444,0,6.95,19.78,0.33,1.997,0.04
24,1466,0.86,5.83,3.83,0.39,0.678,-0.053
25,1384,1.23,13.65,9.88,0.42,1.631,-0.016
25,1426,0.75,10.42,8.26,0.54,0.883,0.009
25,1437,-0.26,8.57,20.46,1.07,1.021,0.004
25,1471,0.52,6.37,-5.2,0.35,-0.292,-0.074
