LOTE,RP,FPd,PN,PD,18m,PAV,AOB,GR,CE
11,15670,5.4,1.1,27.8,54.7,49.4,3.10,0.81,1.2
11,15686,0,2,31,56,48.2,3.29,0.81,1.4
11,15717,3.6,1.3,27.9,47.5,50.3,3.29,0.81,1.1
11,15774,7.1,0.7,24,46.6,42,3.55,1.32,1.3
12,15684,10.2,0.2,24.8,37.5,41,2.19,0.81,1.1
12,15727,-0.1,2,28.5,49,38.1,2.19,0.56,1
12,15763,-4,2.4,27.6,46.3,43.4,1.68,0.3,0.7
12,15807,2.8,1.3,24.9,51,30.5,3.61,1.07,1.5
13,15739,0.6,1.9,28.4,49.3,42,3.10,0.56,0.7
13,15742,-4.2,2.3,27.1,44,41.1,2.52,0.56,1
13,15788,5.2,1.4,25.2,46.5,34.6,3.29,1.07,1.2
13,15796,-0.3,1.8,28.6,53.3,43.2,2.32,0.81,1
14,15691,8.2,0.6,25.5,43.6,52.3,2.13,0.81,0.7
14,15712,9.5,0.3,26,39.8,34.7,2.71,1.32,1.3
14,15801,1.7,1.6,29,57.2,59.1,3.35,1.07,1.1
14,15803,3.7,1.1,26.6,51.1,52.6,3.16,0.81,0.9
15,15714,7.8,0.5,22.5,37.9,44.2,2.45,0.81,1.3
15,15729,-4,2.9,29.2,50.3,44.3,2.13,0.56,0.9
15,15743,5.1,1,23.5,48.3,48.9,2.97,1.32,1.5
15,15767,8.4,0.5,21.5,37.4,31.3,1.68,1.32,1.2
16,15667,5.5,0.6,32.3,45.8,43.2,2.97,1.07,1.2
16,15779,-2.5,2.3,27.5,50.2,41.9,3.35,0.81,1.3
16,15786,0.8,1.5,27.8,51.9,54.2,3.29,0.56,0.8
16,15789,0.1,2.1,25,47.7,52.2,2.06,0.3,0.9
17,15730,13.2,-0.7,20.4,32.2,36.4,1.16,0.56,1.2
17,15776,12.4,-0.2,24.1,34.7,41,2.00,0.56,1.1
17,15787,5.2,0.9,24,46.5,37.5,2.58,1.07,1.5
17,15805,1,1.6,26.4,49,42.2,1.61,0.56,1
18,15674,13,-0.5,25.7,38.3,36.3,3.29,1.32,1
18,15728,3.5,1.3,24.3,49.2,43,2.39,0.81,1.2
18,15755,3.5,1.3,21.8,43.1,43.5,2.77,1.07,1.1
18,15771,0.3,2.1,30.3,57,46.4,3.48,1.32,1.5
