RP,CE,EDAD,PADRE ,ABUELO MATERNO
565,36,3 AÑOS,ERRE TE 383CONDOR EURO TE,BAYUCUA 8422 TE
578,36,3 AÑOS,ERRE TE 383CONDOR EURO TE,LA SORPRESA 425 BRILLANCE
587,37,3 AÑOS,ERRE TE 383CONDOR EURO TE,SAV BISMARCK 5682
595,37,3 AÑOS,BAYUCUA 10029,BAYUCUA 8422 TE
600,36,3 AÑOS,BAYUCUA 10029,BAYUCUA 8422 TE
603,34,3 AÑOS,BAYUCUA 10029,BAYUCUA 8422 TE
608,38,2 AÑOS,ERRE TE 383CONDOR EURO TE,BAYUCUA 8422 TE
610,41,2 AÑOS,ERRE TE 383CONDOR EURO TE,LA SORPRESA 425 BRILLANCE
613,36,2 AÑOS,ERRE TE 383CONDOR EURO TE,LA SORPRESA 425 BRILLANCE
615,38,2 AÑOS,ERRE TE 383CONDOR EURO TE,LA SORPRESA 425 BRILLANCE
616,37,2 AÑOS,ERRE TE 383CONDOR EURO TE,LA SORPRESA 425 BRILLANCE
621,37,2 AÑOS,ERRE TE 383CONDOR EURO TE,SAV BISMARCK 5682
622,40,2 AÑOS,ERRE TE 383CONDOR EURO TE,SAV BISMARCK 5682
626,40,2 AÑOS,ERRE TE 383CONDOR EURO TE,BAYUCUA 8422 TE
635,34,2 AÑOS,ERRE TE 383CONDOR EURO TE,SAV BISMARCK 5682
649,37,2 AÑOS,LAS LILAS 3057 COOPER BRIGADIER ,RUBETA 4444 QUEBRANTADOR
655,36,2 AÑOS,SIERRA VISTA 508 (EURO),RUBETA 4444 QUEBRANTADOR
656,38,2 AÑOS,SIERRA VISTA 508 (EURO),3F EMBLAZON 3652
663,33,2 AÑOS,LAS LILAS 3057 COOPER BRIGADIER ,LA SORPRESA 425 BRILLANCE
674,35,2 AÑOS,SIERRA VISTA 508 (EURO),BAYUCUA 8422 TE
685,33,2 AÑOS,BAYUCUA 10029,BAYUCUA 8422 TE
