LOTE,RP,NAC,DEST,18M,CE,AOB,EGS
1,1505,1.03,20.94,28.88,S/D,S/D,S/D
2,1533,1.15,24.56,31,0.4,2.147,0.092
2,1548,-0.11,23.48,30.95,0.54,1.904,0.025
3,1559,0.79,28.5,40.55,0.89,1.657,0.023
3,1574,1.66,23.92,35.38,0.71,1.977,0.077
3,1603,0.6,17.22,18.6,0.26,S/D,S/D
5,1180,1.36,24.3,35.6,0.63,1.214,-0.088
5,1249,-0.05,10.3,14.96,0.24,0.109,0.046
7,1390,2.02,27.8,38.18,0.84,2.069,0.051
7,1392,-0.1,8.98,20.12,0.57,1.932,0.076
7,1431,-0.2,10.58,21.03,0.5,2.015,0.014
7,1459,1.48,17.54,32.28,0.72,1.585,0.103
8,1350,-1.12,16.98,20.79,0.58,2.007,0.119
8,1396,1.21,11.92,13.06,0.66,0.864,-0.049
8,1451,0.72,9.94,20.62,0.43,2.054,-0.032
8,1465,-1.54,6.9,11.26,0.3,1.951,-0.002
11,1406,0.57,12.36,24.43,0.27,2.787,0.214
11,1417,1.93,18.03,31.27,0.41,2.425,0.072
11,1432,-0.95,9.18,28.23,0.71,1.525,-0.009
11,1433,0.7,4.61,25.12,0.57,0.734,0.053
12,1323,-0.43,14.79,11.92,0.26,-0.063,-0.056
12,1394,0.8,9.3,6.86,0.46,0.823,-0.091
12,1467,0.37,7.53,5.79,0.11,0.732,-0.01
12,1468,-0.98,9.52,15.59,0.61,2.211,0.083
13,1398,0.32,19.64,29.65,0.7,0.928,-0.039
13,1413,0.46,14.83,6.62,0.36,0.688,-0.122
13,1441,-0.43,16.96,27.25,0.62,2.859,0.098
13,1443,0.85,11.95,21.22,0.43,1.056,-0.026
14,1397,1.32,12.17,11.92,0.4,1.044,-0.091
14,1408,-0.05,4.57,11.51,0.19,0.996,0.066
14,1429,0.5,0.65,6.24,0.52,0.51,0.04
14,1445,0.87,9.57,5.48,0.19,0.863,-0.026
14,1456,0.68,12.7,23.93,0.97,1.446,-0.013
